sp,gen,fam,Growth_Rings,Vessel_porosity,Vessel_arangement,Perforation_plates,Intervessel_pits_arregement,Mean_tangential_diameter_of_vessel_lumina,Septa_in_fibers,Fibre_wall_thickness,Parenchyma_Paratracheal,Type_of_parenchyma_banding,Ray_width,Rays_cellular_composition,TropicalHumid,TropicalDry,TropicalGrasslands,Mangrove,Biome,predicted_biome,bioma_final
Cyrtocarpa procera,Cyrtocarpa,ANACARDIACEAE,1,2,3,0,2,1,0,1,1,5,1,2,0.004,0.868,0.0,0.0,TropicalDry,TropicalHumid,Tropical dry forest
Cyrtocarpa velutinifolia,Cyrtocarpa,ANACARDIACEAE,0,2,3,0,2,1,0,1,1,5,2,2,0.533333333,0.0,0.466666667,0.0,TropicalHumid,,Tropical humid forest
Dacryodes kukachkana,Dacryodes,BURSERACEAE,1,2,3,0,2,2,1,1,1,5,1,3,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Dacryodes occidentalis,Dacryodes,BURSERACEAE,1,2,3,0,2,2,0,1,0,5,1,2,0.918032787,0.0,0.049180328,0.032786885,TropicalHumid,TropicalHumid,Tropical humid forest
Daphnopsis macrophylla,Daphnopsis,THYMELAEACEAE,1,2,3,0,2,2,0,1,1,5,1,2,0.940298507,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical montane
Daphnopsis philippiana,Daphnopsis,THYMELAEACEAE,1,2,3,0,2,1,1,0,1,4,1,3,0.818181818,0.181818182,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Delostoma integrifolium,Delostoma,BIGNONIACEAE,1,2,3,0,2,0,1,1,0,5,1,4,0.923076923,0.028846154,0.019230769,0.0,TropicalHumid,TropicalHumid,
Dendrobangia boliviana,Dendrobangia,CARDIOPTERIDACEAE,0,2,1,0,2,1,0,1,1,4,2,2,0.982673267,0.0,0.007425743,0.004950495,TropicalHumid,TropicalHumid,Tropical humid forest
Dendropanax arboreus,Dendropanax,ARALIACEAE,1,2,3,1,1,2,1,1,1,1,2,3,0.81920904,0.050847458,0.012106538,0.007667474,TropicalHumid,TropicalHumid,Tropical humid forest
Dendropanax cuneatus,Dendropanax,ARALIACEAE,1,2,3,0,2,2,0,0,1,5,2,2,0.539948454,0.018041237,0.430412371,0.0,TropicalHumid,,
